****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,12.8044,13.5509,15.9776,1000.3404,13.5404,16.4620,1000.3404
0.0021,12.9554,13.5548,16.1466,1000.2234,13.5459,16.6345,1000.2234
0.0021,13.1064,13.5568,16.2944,1000.1648,13.5487,16.7854,1000.1648
0.0021,13.2574,13.5548,16.4740,1000.2234,13.5459,16.9688,1000.2234
0.0021,13.4084,13.5529,16.6007,999.9893,13.5471,17.0972,999.9893
0.0021,13.5594,13.5568,16.7485,999.8723,13.5527,17.2480,999.8723
0.0021,13.7104,13.5568,16.9175,1000.0478,13.5503,17.4212,1000.0478
0.0021,13.8614,13.5568,17.0864,1000.1648,13.5487,17.5942,1000.1648
0.0022,14.0124,13.5548,17.2343,1000.1063,13.5475,17.7449,1000.1063
0.0022,14.1634,13.5489,17.3821,1000.1063,13.5416,17.8954,1000.1063
0.0022,14.3144,13.5548,17.5616,1000.1063,13.5475,18.0792,1000.1063
0.0022,14.4655,13.5588,17.6883,1000.1648,13.5507,18.2091,1000.1648
0.0022,14.6165,13.5529,17.8467,1000.2234,13.5440,18.3707,1000.2234
0.0022,14.7675,13.5568,18.0051,1000.1648,13.5487,18.5325,1000.1648
0.0022,14.9185,13.5548,18.1424,1000.2819,13.5451,18.6730,1000.2819
0.0022,15.0695,13.5529,18.3114,1000.0478,13.5463,18.8445,1000.0478
0.0022,15.2205,13.5529,18.4803,999.9308,13.5479,19.0167,999.9308
0.0022,15.3715,13.5529,18.6282,999.9308,13.5479,19.1676,999.9308
0.0022,15.5225,13.5529,18.7655,1000.2234,13.5440,19.3090,1000.2234
0.0022,15.6735,13.5588,18.9239,1000.0478,13.5522,19.4705,1000.0478
0.0022,15.8245,13.5548,19.0717,999.9893,13.5491,19.6210,999.9893
0.0022,15.9756,13.5509,19.2406,1000.1648,13.5428,19.7939,1000.1648
0.0022,16.1266,13.5489,19.3779,1000.1063,13.5416,19.9337,1000.1063
0.0022,16.2776,13.5509,19.5469,999.8723,13.5468,20.1056,999.8723
0.0022,16.4286,13.5509,19.6947,1000.1063,13.5436,20.2574,1000.1063
